pub_title,volume,issue_number,issue_month,issue_day,issue_year,volume_title
It Ain't Me Babe,1,1,1,15,1970,Berkeley Women's Liberation
It Ain't Me Babe,1,2,1,29,1970,Berkeley Women's Liberation
It Ain't Me Babe,1,3,2,1,1970,Women's Liberation
It Ain't Me Babe,1,4,3,15,1970,Women's Liberation
It Ain't Me Babe,1,5,4,7,1970,Women's Liberation
It Ain't Me Babe,1,6,4,28,1970,Women's Liberation:Special Media Issue
It Ain't Me Babe,1,7,5,21,1970,Women's Liberation
It Ain't Me Babe,1,8,6,11,1970,Women's Liberation
It Ain't Me Babe,1,9,7,2,1970,Women's Liberation
It Ain't Me Babe,1,10,7,23,1970,Women's Liberation
It Ain't Me Babe,1,11,8,6,1970,Women's Liberation
It Ain't Me Babe,1,13,9,4,1970,Women's Liberation
It Ain't Me Babe,1,14,9,17,1970,Disarm Rapists!
It Ain't Me Babe,1,15,10,8,1970,Boss Dykes Liberation
It Ain't Me Babe,1,16,10,30,1970,Women's Liberation
It Ain't Me Babe,1,17,12,1,1970,End All Hierarchies
It Ain't Me Babe,1,17S,12,1,1970,Women's Liberation: Special Supplement
It Ain't Me Babe,2,1,4,1,1971,Paranoid Schizophrenic and Proud!
