resource_title,volume,issue,resource_type,location,address,city,state,country,source_publication,description
Planned Parenthood,1,1,Reproductive Healthcare,Planned Parenthood,"2340 Clay, 922-1720",Berkeley,CA,USA,NA,"""counciled on best course of action for therapeutic abortion"""
Post Abortion Care Center,1,1,Reproductive Healthcare,Post Abortion Care Center,55 Arguello,San Francisco,CA,USA,NA,free pregnancy tests for patients on Wednesdays from 7:30-8
Free Pregnancy Tests and Referrals,1,1,Reproductive Healthcare,NA,NA,Berkeley,CA,USA,NA,"free pregnancy test and referrals, free contraceptives - phone number provided for appointments"
Group of Women Seeking Commune,1,10,Listing,NA,NA,Milwaukee,WI,USA,NA,group of women seeking a commune
Mother Jones Community Information Center,1,10,Childcare,Mother Jones Community Information Center,1823 W. Lombard St.,Baltimore,MD,USA,NA,"free lunch being provided  along with a liberation school to teach history of labor strikes, women's struggles, black history, and other ""important"" problems"
Granma,1,10,Bookstore,Granma,Telegraph and Dwight,Berkeley,CA,USA,NA,radical and marxist literature
W.L. Coalition of Michigan,1,4,Organization,W.L. Coalition of Michigan,5705 Woodward Ave.,Detroit,MI,USA,NA,"monthly meetings of coalition of 15 Women's Liberation groups to work on action projects, put out newsletter/discussion bulletin, and share ideas"
New Organization Patterned After Bread and Roses,1,4,Organization,NA,NA,New York City,NY,USA,NA,new W.L. organization patterned after Bread and Roses in Boston - composed of several small groups
New Feminist Book Store,1,4,Bookstore,New Feminist Book Store,5037 S. Drexel,Chicago,IL,USA,NA,woman-run book store that sells hard to obtain books and articles on W.L.
Red Witch,1,5,Organization,Red Witch,142 Dwinnelle,Berkeley,CA,USA,NA,new organization from dissatisfaction with the state of the woman's movement in the East Bay - inspired by original Red Witch in San Francisco and ideas from other groups
YWCA,1,6,"Childcare,Courses",YWCA,NA,Berkeley,CA,USA,NA,Y-Wives club beginning an 8 week program offering activities for mothers while their children are in the nursery - including group discussions
Problem Pregnancy Healthcare Service,1,6,"Reproductive Healthcare,Listing",NA,NA,Berkeley,CA,USA,NA,"Ad for the Problem Pregnancy Counseling Service that provides privacy, references, and confidentiality - phone number provided in lieu of address information"
Problem Pregnancy Healthcare Service,1,6,"Reproductive Healthcare,Listing",NA,NA,Houston,TX,USA,NA,"Ad for the Problem Pregnancy Counseling Service that provides privacy, references, and confidentiality - phone number provided in lieu of address information"
Problem Pregnancy Healthcare Service,1,6,"Reproductive Healthcare,Listing",NA,NA,Milwaukee,WI,USA,NA,"Ad for the Problem Pregnancy Counseling Service that provides privacy, references, and confidentiality - phone number provided in lieu of address information"
Free Women's Press,2,1,Organization,Free Women's Press,4205 Terrance St,Oakland,CA,USA,NA,New address - request for additional help
Women's Center,2,1,Organization,Women's Center,1380 Howard,San Francisco,CA,USA,NA,invitation to attend regular Gay Women's Liberation meetings - Friday nights
Sacramento Women's Liberation Group,1,7,Organization,NA,NA,Sacramento,CA,USA,NA,Plug for Sacramento Women's Liberation - group working on opening a coffee shop that will be able to sell W.L. literature - phone number provided
Vasectomy Club,1,7,Reproductive Healthcare,NA,3139 E Sharna,Las Vegas,NV,USA,NA,"Vesectomy Club advertised as way to stop population explosion, lack of medical side effects, male duty to prevent pregnancy, members given ID medallion or bumper sticker, and yearly sperm tests
- intersted parties given address to write to Bev and Jack Palmer"
Granma,1,7,Bookstore,Granma,Telegraph and Dwight,Berkeley,CA,USA,NA,radical and marxist literature AND two cases devoted to women
